                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.176,                 2.3576,                 1.6294,                0.68556,                0.58908,                0.63944,                0.39263,                  1.294,                  1.519,                 1.8303,               0.070056,              0.0033271,              0.0033271
                      1,                 1.0886,                 1.3618,                 1.5297,                0.64801,                0.59365,                0.63965,                0.34926,                 1.4685,                 1.4937,                 2.0747,                0.03999,              0.0065945,              0.0065945
                      2,                 1.1206,                 1.3665,                 1.5518,                0.56252,                0.49461,                0.51179,                0.27125,                  1.644,                 1.8143,                 2.2138,              0.0098585,              0.0097959,              0.0097959
                      3,                 1.1506,                 1.4478,                 1.5827,                0.64975,                0.62112,                0.65859,                0.37269,                 1.4386,                 1.4318,                 2.0311,               0.009703,               0.009703,               0.009703
                      4,                 1.1289,                 1.3445,                 1.5609,                0.67264,                0.63888,                0.67452,                0.39412,                 1.4166,                 1.3522,                 2.0099,               0.009703,               0.009703,               0.009703
                      5,                 1.0942,                 1.2799,                 1.5357,                0.75509,                0.67292,                0.75268,                  0.445,                 1.3523,                 1.2028,                 1.9578,               0.009604,               0.009604,               0.009604
                      6,                  1.056,                 1.2042,                 1.5081,                0.71335,                 0.6882,                0.72238,                0.44776,                 1.2907,                 1.2161,                 1.8822,               0.009505,               0.009505,               0.009505
                      7,                 1.0447,                 1.1496,                 1.4976,                0.71091,                0.70662,                0.74674,                0.46531,                 1.2946,                 1.1121,                 1.9064,               0.009406,               0.009406,               0.009406
                      8,                 1.0188,                 1.0929,                 1.4753,                0.73235,                0.70603,                 0.7587,                0.47943,                 1.2639,                 1.0919,                  1.847,               0.009307,               0.009307,               0.009307
                      9,                 1.0118,                 1.0589,                 1.4638,                0.75247,                0.69539,                0.74921,                0.46474,                 1.2782,                  1.121,                 1.8584,               0.009208,               0.009208,               0.009208
                     10,                0.98642,                 1.0187,                 1.4457,                0.76898,                0.71363,                0.76607,                0.49066,                 1.2603,                   1.09,                 1.8361,               0.009109,               0.009109,               0.009109
                     11,                0.97047,                 0.9932,                 1.4365,                 0.7305,                0.73173,                0.78999,                0.50377,                 1.2178,                 1.0385,                 1.7846,                0.00901,                0.00901,                0.00901
                     12,                0.95457,                0.95578,                 1.4216,                0.73903,                0.74886,                0.77539,                0.49609,                 1.2105,                 1.0424,                 1.7656,               0.008911,               0.008911,               0.008911
                     13,                0.94839,                0.93157,                 1.4192,                0.80174,                0.72027,                0.80245,                 0.5159,                 1.2281,                 1.0105,                 1.8147,               0.008812,               0.008812,               0.008812
                     14,                0.93607,                0.90018,                  1.404,                0.68556,                0.75271,                0.78108,                0.50699,                 1.2345,                 1.0252,                 1.8115,               0.008713,               0.008713,               0.008713
                     15,                0.92464,                0.87449,                 1.3978,                0.76313,                0.70153,                0.77173,                0.49326,                 1.2316,                 1.0442,                 1.8244,               0.008614,               0.008614,               0.008614
                     16,                0.91298,                0.85189,                 1.3879,                0.74067,                0.72617,                 0.7691,                0.50435,                 1.2083,                 1.0458,                 1.7738,               0.008515,               0.008515,               0.008515
                     17,                0.90705,                0.83474,                 1.3788,                0.78082,                0.71426,                0.78587,                0.51714,                 1.2096,                 1.0005,                 1.7792,               0.008416,               0.008416,               0.008416
                     18,                0.89913,                0.80803,                 1.3729,                 0.7733,                 0.7529,                 0.7806,                0.50916,                 1.2084,                0.98643,                 1.7934,               0.008317,               0.008317,               0.008317
                     19,                0.87714,                 0.7958,                 1.3623,                0.78246,                0.73072,                0.78092,                0.51215,                    1.2,                 1.0258,                 1.7874,               0.008218,               0.008218,               0.008218
                     20,                0.87763,                0.77858,                 1.3605,                0.78914,                0.72652,                0.77986,                0.51204,                 1.2178,                 1.0326,                 1.7862,               0.008119,               0.008119,               0.008119
                     21,                0.86607,                0.75819,                 1.3473,                0.76278,                0.73116,                0.77072,                0.50783,                 1.1871,                 1.0354,                 1.7491,                0.00802,                0.00802,                0.00802
                     22,                0.85987,                0.75542,                 1.3415,                0.72802,                0.78135,                0.78924,                0.52725,                 1.1865,                0.99517,                 1.7511,               0.007921,               0.007921,               0.007921
                     23,                0.85939,                0.73458,                 1.3367,                0.71579,                0.73128,                0.73518,                0.48651,                  1.232,                 1.1021,                 1.7928,               0.007822,               0.007822,               0.007822
                     24,                0.85009,                0.72422,                 1.3343,                0.72579,                0.76526,                0.78056,                0.51491,                 1.1941,                 1.0395,                 1.7577,               0.007723,               0.007723,               0.007723
                     25,                0.82662,                0.71394,                 1.3194,                0.75454,                0.75367,                 0.7755,                0.51834,                 1.1722,                 1.0073,                 1.7587,               0.007624,               0.007624,               0.007624
                     26,                0.82385,                0.69806,                 1.3181,                0.79022,                0.72191,                0.77217,                0.51664,                 1.2011,                 1.0373,                 1.7992,               0.007525,               0.007525,               0.007525
                     27,                0.82133,                0.68517,                  1.307,                0.73011,                 0.7515,                0.76888,                0.51511,                 1.1724,                 1.0295,                  1.741,               0.007426,               0.007426,               0.007426
                     28,                0.81572,                0.66702,                 1.3095,                0.77861,                0.72176,                0.76063,                0.50381,                 1.2078,                 1.0261,                 1.7956,               0.007327,               0.007327,               0.007327
                     29,                0.80888,                0.66169,                 1.2975,                0.75992,                0.73769,                 0.7759,                0.51442,                 1.2135,                  1.035,                 1.7875,               0.007228,               0.007228,               0.007228
                     30,                0.80012,                0.64541,                 1.2945,                 0.7393,                0.74218,                 0.7629,                0.51314,                 1.1861,                 1.0327,                 1.7764,               0.007129,               0.007129,               0.007129
                     31,                0.79368,                0.63858,                 1.2861,                0.77435,                0.74665,                0.77873,                0.51291,                 1.2059,                 1.0599,                 1.7892,                0.00703,                0.00703,                0.00703
                     32,                0.78933,                0.62789,                 1.2831,                0.79897,                0.74344,                0.78129,                0.52492,                 1.1823,                 1.0216,                 1.7672,               0.006931,               0.006931,               0.006931
                     33,                 0.7862,                0.62471,                 1.2858,                0.75971,                0.75689,                0.76949,                0.52283,                 1.1898,                 1.0458,                 1.7832,               0.006832,               0.006832,               0.006832
                     34,                0.77693,                0.61472,                 1.2743,                 0.7621,                0.77023,                0.76657,                0.51345,                 1.2176,                 1.0029,                 1.8117,               0.006733,               0.006733,               0.006733
                     35,                0.77115,                0.61021,                 1.2688,                0.77861,                0.75033,                0.78953,                0.53045,                 1.2075,                 1.0034,                 1.8177,               0.006634,               0.006634,               0.006634
                     36,                0.76334,                0.60729,                 1.2651,                0.78167,                0.75621,                0.77407,                0.51826,                 1.1972,                0.99752,                 1.7976,               0.006535,               0.006535,               0.006535
